Currency,Fall2017,Spring2018,Fall2018,Spring2019,Fall2019,Spring2020,Fall2020,Spring2021,FullCurrency
ARS,12225,12659,20936,28316,33178,46775,55644,63463,Argentine Peso
UZS,12225,25067,24780,26198,28130,31181,33536,34133,Uzbekistan Som
TRY,12225,13591,16204,18485,21158,21182,25281,28853,Turkish Lira
PKR,12225,12316,14499,16000,20308,19214,20694,19774,Pakistani Rupee
ETB,12225,14444,14842,15125,16217,17123,19720,21355,Ethiopian Birr
BRL,12225,12035,14569,14581,15106,16631,21065,20918,Brazilian Real
UYU,12225,12522,13863,14138,16158,17423,20086,19543,Uruguayan Peso
GHS,12225,12576,13755,14177,16137,16647,17069,17396,Ghanaian Cedi
GEL,12225,13844,12767,13877,15423,16127,16642,18079,Georgian Lari
KZT,12225,12610,13346,14504,15386,15582,16677,17196,Kazakhstani Tenge
NGN,12225,14020,14323,14462,14876,14960,16026,15838,Nigerian Naira
BYN,12225,12713,12778,13727,13678,14111,16062,17348,Belarusian Ruble
RUB,12225,12222,13331,14201,13875,14179,15648,16837,Russian Ruble
DZD,12225,13013,13586,13757,14287,14481,15454,15558,Algerian Dinar
MNT,12225,12719,13002,13337,14727,14889,15657,15800,Mongolian Tugrik
TND,12225,12299,13206,14782,15143,14974,14827,14385,Tunisian Dinar
SZL,12225,12864,12921,13148,14075,14535,16619,15199,Swazi Lilangeni
ZAR,12225,12828,12832,13210,13949,14516,16428,15297,South African Rand
MXN,12225,12562,13108,14038,13709,13991,15985,14433,Mexican Peso
NPR,12225,12227,13327,13474,13912,14402,15107,14876,Nepalese Rupee
INR,12225,12206,13277,13461,13846,14409,15091,14860,Indian Rupee
NZD,12225,13017,13378,13308,14156,14816,14474,13555,New Zealand Dollar
HUF,12225,11927,12696,13191,13642,14581,14867,14432,Hungarian Forint
AUD,12225,12350,12910,13118,14205,14758,14236,13557,Australian Dollar
SEK,12225,12125,12921,13487,14318,14744,13969,13206,Swedish Krona
IDR,12225,12398,13340,13409,13749,13708,14192,13727,Indonesian Rupiah
KGS,12225,12315,12304,12387,13030,13064,14562,15900,Kyrgystani Som
BDT,12225,12517,13017,12998,13640,13666,13673,13681,Bangladeshi Taka
HNL,12225,12411,12868,13053,13729,13682,13849,13507,Honduran Lempira
GTQ,12225,12274,12770,13118,13665,13641,13636,13855,Guatemalan Quetzal
JMD,12225,11872,12507,12228,13110,14104,14388,14715,Jamaican Dollar
NOK,12225,12133,12003,12849,13250,14335,14423,13811,Norwegian Krone
UGX,12225,12381,13330,12946,13355,13353,13340,13393,Ugandan Shilling
RON,12225,11922,12397,12847,13498,14102,13786,13268,Romanian Leu
UAH,12225,12733,12620,13510,13048,11937,13523,14206,Ukrainian Hryvnia
VND,12225,12230,12624,12768,13342,13218,13273,13278,Vietnamese Dong
PLN,12225,11694,12491,12762,13086,13723,13741,13146,Polish Zloty
CAD,12225,11964,12594,12786,13101,13291,13517,13001,Canadian Dollar
AZN,12225,12315,12597,12597,13102,13102,13102,13102,Azerbaijani Manat
PHP,12225,12192,13192,12976,13197,13092,12730,12386,Philippine Peso
ILS,12225,12214,12962,13307,13266,12909,12746,12293,Israeli New Sheqel
TTD,12225,12252,12512,12521,13086,13026,13057,13125,Trinidad and Tobago Dollar
CNY,12225,11930,12226,12809,13146,13463,13380,12595,Chinese Yuan
KES,12225,12142,12144,12343,12811,12844,13444,13782,Kenyan Shilling
AMD,12225,12376,12560,12625,12935,12916,13040,13040,Armenian Dram
GBP,12225,11820,12232,12742,13316,13076,13424,12676,British Pound Sterling
JOD,12225,12235,12486,12487,12977,12986,12977,12977,Jordanian Dinar
SAR,12225,12225,12475,12479,12975,12974,12977,12976,Saudi Riyal
AED,12225,12225,12475,12476,12975,12975,12976,12976,United Arab Emirates Dirham
USD,12225,12225,12475,12475,12975,12975,12975,12975,United States Dollar
HKD,12225,12232,12541,12501,12983,13009,12883,12882,Hong Kong Dollar
ZWL,12225,12224,12474,12474,12959,12959,12959,12959,Zimbabwean Dollar
DKK,12225,11754,12168,12643,13104,13524,13007,12435,Danish Krone
KRW,12225,11560,12148,12201,13100,13384,13608,12572,South Korean Won
BGN,12225,11731,12135,12607,13042,13455,12985,12421,Bulgarian Lev
EUR,12225,11744,12126,12592,13049,13454,12984,12418,Euro
TWD,12225,12064,12486,12651,13179,13024,12576,12171,New Taiwan Dollar
SGD,12225,11960,12301,12430,12743,12893,13096,12629,Singapore Dollar
CZK,12225,11491,12028,12520,12703,13152,13261,12492,Czech Republic Koruna
MAD,12225,11919,12216,12330,12899,12994,12900,12232,Moroccan Dirham
JPY,12225,12195,12261,12597,12510,12638,12340,12040,Japanese Yen
MYR,12225,11646,11738,12145,12471,12621,12881,12312,Malaysian Ringgit
ALL,12225,11843,11549,11803,12060,12456,12163,11599,Albanian Lek
THB,12225,11749,12189,12126,11718,11561,12071,11581,Thai Baht
EGP,12225,11925,12304,12333,11967,11546,11438,11212,Egyptian Pound
