CurrencyName,Fin Aid App Due,Fin Aid Package Release,Fall20 Bill Due,Spring21 Bill Due,Students
United Arab Emirates Dirham,0.0,0.01,0.01,0.01,1
Albanian Lek,0.0,-2.93,-3.54,-8.01,1
Armenian Dram,0.0,1.87,0.65,0.65,3
Argentine Peso,0.0,2.69,16.26,32.6,3
Australian Dollar,0.0,10.22,-4.03,-8.61,3
Azerbaijani Manat,0.0,0.0,0.0,0.0,1
Bangladeshi Taka,0.0,-0.01,-0.15,-0.09,6
Bulgarian Lev,0.0,-2.97,-5.03,-9.16,8
Brazilian Real,0.0,16.36,24.95,24.08,30
Belarusian Ruble,0.0,7.97,9.22,17.97,1
Canadian Dollar,0.0,5.79,1.98,-1.92,11
Chinese Yuan,0.0,0.09,0.03,-5.84,42
Czech Republic Koruna,0.0,6.56,1.79,-4.12,2
Danish Krone,0.0,-2.87,-5.36,-9.52,2
Algerian Dinar,0.0,-0.43,6.11,6.82,1
Egyptian Pound,0.0,0.4,1.81,-0.2,18
Ethiopian Birr,0.0,2.05,10.14,19.27,7
Euro,0.0,-2.89,-5.04,-9.18,37
British Pound Sterling,0.0,6.4,3.65,-2.13,7
Georgian Lari,0.0,-2.79,6.97,16.2,3
Ghanaian Cedi,0.0,4.57,7.92,9.98,1
Guatemalan Quetzal,0.0,0.07,0.85,2.47,3
Hong Kong Dollar,0.0,-0.02,-0.2,-0.21,5
Honduran Lempira,0.0,0.13,0.28,-2.2,1
Hungarian Forint,0.0,-0.44,0.02,-2.9,3
Indonesian Rupiah,0.0,11.14,6.66,3.16,2
Israeli New Sheqel,0.0,9.8,-0.0,-3.56,7
Indian Rupee,0.0,3.88,5.06,3.46,18
Jamaican Dollar,0.0,-4.56,1.34,3.64,1
Jordanian Dinar,0.0,0.01,0.0,0.0,1
Japanese Yen,0.0,-3.26,-2.64,-5.0,12
Kenyan Shilling,0.0,2.68,6.65,9.34,20
Kyrgystani Som,0.0,2.18,11.18,21.4,1
South Korean Won,0.0,4.2,1.53,-6.2,12
Kazakhstani Tenge,0.0,15.57,9.64,13.05,9
Moroccan Dirham,0.0,-1.76,-1.4,-6.51,4
Mongolian Tugrik,0.0,0.09,2.68,3.61,10
Mexican Peso,0.0,21.99,20.41,8.72,16
Malaysian Ringgit,0.0,4.04,2.92,-1.63,6
Nigerian Naira,0.0,0.74,6.46,5.21,19
Norwegian Krone,0.0,11.18,0.39,-3.87,6
Nepalese Rupee,0.0,3.85,5.33,3.72,1
New Zealand Dollar,0.0,6.67,-1.94,-8.17,1
Philippine Peso,0.0,1.95,-2.1,-4.75,8
Pakistani Rupee,0.0,2.83,8.12,3.32,27
Polish Zloty,0.0,1.53,0.09,-4.24,5
Romanian Leu,0.0,-1.43,-3.56,-7.18,5
Russian Ruble,0.0,17.1,11.82,20.33,11
Saudi Riyal,0.0,0.07,0.0,-0.0,1
Swedish Krona,0.0,0.75,-6.61,-11.71,5
Singapore Dollar,0.0,2.32,-0.08,-3.64,6
Swazi Lilangeni,0.0,11.7,12.48,2.87,1
Thai Baht,0.0,3.2,1.18,-2.92,2
Tunisian Dinar,0.0,0.37,-0.97,-3.92,2
Turkish Lira,0.0,6.16,13.24,29.24,6
Trinidad and Tobago Dollar,0.0,-0.16,0.04,0.56,1
New Taiwan Dollar,0.0,0.74,-1.83,-4.98,10
Ukrainian Hryvnia,0.0,8.76,10.87,16.46,38
Ugandan Shilling,0.0,2.02,0.57,0.97,1
United States Dollar,0.0,0.0,0.0,0.0,76
Uruguayan Peso,0.0,14.38,15.41,12.28,2
Uzbekistan Som,0.0,-0.32,7.03,8.94,1
Vietnamese Dong,0.0,0.16,-0.03,0.01,35
South African Rand,0.0,11.47,11.28,3.62,4
Zimbabwean Dollar,0.0,0.0,-0.0,-0.0,1
